Exomiser_version,PhenotypeScore,Rank,CombinedScore
exomiser_11,0.50631666,High,0.4888805
exomiser_11,0.5000114,Medium,0.7475152
exomiser_11,0.5000791,Low,0.74907994
exomiser_11,0.50000054,Medium,0.7481364
exomiser_11,0.53819674,Medium,0.81607395
exomiser_11,0.69917965,Diagnosed,0.95943
exomiser_11,0.0,Medium,0.016233366
exomiser_11,0.50006217,Medium,0.65780705
exomiser_11,0.50006217,Medium,0.65780705
exomiser_11,0.5791455,High,0.6463005
exomiser_11,0.3172193,NA,0.2478622
exomiser_11,0.50000024,Medium,0.74893445
exomiser_11,0.50000054,Medium,0.61658466
exomiser_11,0.50000054,Medium,0.61658466
exomiser_11,0.50010157,High,0.74871355
exomiser_11,0.5000002,Medium,0.6585529
exomiser_11,0.5000002,Medium,0.6585529
exomiser_11,0.50132406,Medium,0.751513
exomiser_11,0.50132406,Medium,0.751513
exomiser_11,0.50000656,High,0.7489468
exomiser_11,0.5000026,NA,0.7489391
exomiser_11,0.5022393,Medium,0.725805
exomiser_11,0.5022393,Medium,0.725805
exomiser_11,0.50035334,Medium,0.74534285
exomiser_11,0.50001913,Medium,0.7472408
exomiser_11,0.50383013,Medium,0.75494385
exomiser_11,0.50000304,Medium,0.74893993
exomiser_11,0.0,Medium,0.006442867
exomiser_11,0.0,Medium,0.006442867
exomiser_11,0.5003917,High,0.7496988
exomiser_11,0.5003917,High,0.7496988
exomiser_11,0.29638627,High,0.26421896
exomiser_11,0.29638627,High,0.26421896
exomiser_11,0.0,NA,0.0011149014
exomiser_11,0.0,High,0.015810253
exomiser_11,0.0,High,0.015810253
exomiser_11,0.50005126,Medium,0.10764517
exomiser_11,0.5000565,Low,0.7490444
exomiser_11,0.0,Medium,0.016233366
exomiser_11,0.37547657,NA,0.4498133
exomiser_11,0.50000453,Medium,0.7015513
exomiser_11,0.50000453,Medium,0.7015513
exomiser_11,0.50004536,Medium,0.74902266
exomiser_11,0.50004536,Medium,0.74902266
exomiser_11,0.50000006,Medium,0.73924476
exomiser_11,0.50000006,Medium,0.73924476
exomiser_11,0.5000546,NA,0.7490407
exomiser_11,0.5447166,High,0.8193312
exomiser_11,0.5000708,Medium,0.63734055
exomiser_11,0.5000708,Medium,0.63734055
exomiser_11,0.5003037,Diagnosed,0.7495271
exomiser_11,0.53838676,High,0.81637025
exomiser_11,0.5037663,High,0.75622326
exomiser_11,0.5037663,High,0.75622326
exomiser_11,0.5000309,Medium,0.74899435
exomiser_11,0.500005,Medium,0.6711484
exomiser_11,0.50000274,Diagnosed,0.74893934
exomiser_11,0.0,Medium,0.004839387
exomiser_11,0.0,Medium,0.004839387
exomiser_11,0.2204357,Medium,0.14027606
exomiser_11,0.5000012,Medium,0.74893636
exomiser_11,0.5000012,Medium,0.74893636
exomiser_11,0.5000012,Medium,0.74893636
exomiser_11,0.50017154,Medium,0.057830084
exomiser_11,0.50017154,Medium,0.057830084
exomiser_11,0.5052686,Medium,0.7524221
exomiser_11,0.5052686,Medium,0.7524221
exomiser_11,0.50196964,Medium,0.73566335
exomiser_11,0.50196964,Medium,0.73566335
exomiser_11,0.0,Medium,0.006218284
exomiser_11,0.0,Medium,0.006218284
exomiser_11,0.60269696,Diagnosed,0.895292
exomiser_11,0.50013673,High,0.7492011
exomiser_11,0.5000486,Medium,0.7022663
exomiser_11,0.5000486,Medium,0.7022663
exomiser_11,0.0,Medium,0.0037668848
exomiser_11,0.5000054,High,0.7489446
exomiser_11,0.5000022,NA,0.74823624
exomiser_11,0.0,High,0.015929215
exomiser_11,0.50002074,Medium,0.74897456
exomiser_11,0.50002074,Medium,0.74897456
exomiser_11,0.5000002,Medium,0.74736744
exomiser_11,0.5000002,Medium,0.74736744
exomiser_11,0.5000091,Low,0.7489518
exomiser_11,0.3320579,Medium,0.34237215
exomiser_11,0.50000054,Medium,0.7484408
exomiser_11,0.51778394,Low,0.78207344
exomiser_11,0.35163686,NA,0.38954452
exomiser_11,0.50000364,Medium,0.7481798
exomiser_11,0.5000138,Low,0.74896103
exomiser_11,0.0,Medium,0.0019900985
exomiser_11,0.0,Medium,0.0019900985
exomiser_11,0.50000036,Medium,0.7489347
exomiser_11,0.5000774,Medium,0.71831846
exomiser_11,0.5000774,Medium,0.71831846
exomiser_11,0.5000123,Medium,0.748958
exomiser_11,0.5000123,Medium,0.748958
exomiser_11,0.50000095,High,0.51967293
exomiser_11,0.50000095,High,0.51967293
exomiser_11,0.50391513,High,0.75650835
exomiser_11,0.50391513,Medium,0.75650835
exomiser_11,0.5112922,Low,0.7560743
exomiser_11,0.5112922,Medium,0.7560743
exomiser_11,0.5393921,Low,0.8096304
exomiser_11,0.5016961,Medium,0.7520266
exomiser_11,0.5016961,Medium,0.7520266
exomiser_11,0.50040984,Medium,0.0013600978
exomiser_11,0.5004596,Medium,0.5127985
exomiser_11,0.5004596,Medium,0.5127985
exomiser_11,0.0,Medium,0.014088141
exomiser_11,0.0,Medium,0.014088141
exomiser_11,0.5000012,Medium,0.717822
exomiser_11,0.5000012,Medium,0.717822
exomiser_11,0.6128577,Medium,0.9044515
exomiser_11,0.6128577,Medium,0.9044515
exomiser_11,0.5007727,High,0.0022089363
exomiser_11,0.0,High,0.016231747
exomiser_11,0.0,Medium,0.016233366
exomiser_11,0.500001,Low,0.5682612
exomiser_11,0.500001,Low,0.5682612
exomiser_11,0.5000267,NA,0.7489862
exomiser_11,0.5000032,Medium,0.74704146
exomiser_11,0.5000004,Medium,0.26496512
exomiser_11,0.5000004,Medium,0.26496512
exomiser_11,0.5000032,Medium,0.74704146
exomiser_11,0.50002843,Medium,0.64729166
exomiser_11,0.50002843,Medium,0.64729166
exomiser_11,0.5000948,Low,0.7429267
exomiser_11,0.5000948,Low,0.7429267
exomiser_11,0.5002086,Medium,0.6333914
exomiser_11,0.5002086,Medium,0.6333914
exomiser_11,0.50000006,NA,0.22071828
exomiser_11,0.3958726,Medium,0.020848611
exomiser_11,0.3958726,Medium,0.020848611
exomiser_11,0.501083,Medium,0.51434153
exomiser_11,0.501083,Medium,0.51434153
exomiser_11,0.5000006,Medium,0.7473689
exomiser_11,0.50000006,Medium,0.7489151
exomiser_11,0.5000122,Medium,0.7489579
exomiser_11,0.5000071,Low,0.37953055
exomiser_11,0.5000071,Low,0.37953055
exomiser_11,0.0,Medium,0.0026222891
exomiser_11,0.5000177,Diagnosed,0.7489686
exomiser_11,0.5000568,High,0.5586396
exomiser_11,0.5000568,High,0.5586396
exomiser_11,0.5555593,Diagnosed,0.84163535
exomiser_11,0.5555593,Diagnosed,0.84163535
exomiser_11,0.5000117,Medium,0.74895686
exomiser_11,0.0,Medium,0.015627347
exomiser_11,0.50000036,Medium,0.7489347
exomiser_11,0.50000036,Medium,0.7489347
exomiser_11,0.50003403,Medium,0.7490005
exomiser_11,0.0,Medium,0.01617875
exomiser_11,0.0,Medium,0.01617875
exomiser_11,0.50000024,Medium,0.47087133
exomiser_11,0.50000024,Medium,0.47087133
exomiser_11,0.50012386,NA,0.73137337
exomiser_11,0.50012386,NA,0.73137337
exomiser_11,0.50012386,NA,0.73137337
exomiser_11,0.50012386,NA,0.73137337
exomiser_11,0.5000572,Medium,0.7490458
exomiser_11,0.5001366,Medium,0.7413444
exomiser_11,0.5001366,Medium,0.7413444
exomiser_11,0.0,Medium,0.015871989
exomiser_11,0.0,Medium,0.015871989
exomiser_11,0.0,Medium,0.015783088
exomiser_11,0.18883567,Medium,0.10513141
exomiser_11,0.72627217,High,0.9689663
exomiser_11,0.6673761,High,0.94441897
exomiser_11,0.6673761,High,0.94441897
exomiser_11,0.20660684,Medium,0.0662006
exomiser_11,0.0,Medium,0.016233366
exomiser_11,0.0,Medium,0.016233366
exomiser_11,0.5000008,Medium,0.7489355
exomiser_11,0.0,Medium,0.013630322
exomiser_11,0.0,NA,0.015733846
exomiser_11,0.0,NA,0.015733846
exomiser_11,0.14364126,High,0.06841504
exomiser_11,0.5007816,Low,0.72975224
exomiser_11,0.66571337,High,0.9435047
exomiser_11,0.50000006,NA,0.7489341
exomiser_11,0.5398479,Low,0.548941
exomiser_11,0.5398479,Low,0.548941
exomiser_11,0.50345033,High,0.75561726
exomiser_11,0.52391195,Medium,0.5696171
exomiser_11,0.52391195,Medium,0.5696171
exomiser_11,0.5696315,NA,0.8578501
exomiser_11,0.30628297,Medium,0.19646773
exomiser_11,0.0,Medium,0.0058014356
exomiser_11,0.0,Low,0.016233366
exomiser_11,0.0,Medium,0.016233366
exomiser_11,0.5003177,Medium,0.7495544
exomiser_11,0.5001428,High,0.74833363
exomiser_11,0.50000334,Low,0.74817705
exomiser_11,0.50000334,Low,0.74817705
exomiser_11,0.0,NA,0.015974326
exomiser_11,0.50276864,Medium,0.75430644
exomiser_11,0.50014234,Medium,3.0668106E-4
